,paper_id,title,authors,subjects,abstract,affilliations,date,source,url
0,2309.10986,Research on the Impact of Executive Shareholding on New Investment in  Enterprises Based on Multivariable Linear Regression Model,"['Shanyi Zhou', 'Ning Yan', 'Zhijun Li', 'Mo Geng', 'Xulong Zhang', 'Hongbiao Si', 'Lihua Tang', 'Wenyuan Sun', 'Longda Zhang', 'Yi Cao']",Numerical Analysis (math.NA); General Economics (econ.GN),"Based on principal-agent theory and optimal contract theory, companies usethe method of increasing executives' shareholding to stimulate collaborativeinnovation. However, from the aspect of agency costs between management andshareholders (i.e. the first type) and between major shareholders and minorityshareholders (i.e. the second type), the interests of management, shareholdersand creditors will be unbalanced with the change of the marginal utility ofexecutive equity incentives.In order to establish the correlation between theproportion of shares held by executives and investments in corporateinnovation, we have chosen a range of publicly listed companies within China'sA-share market as the focus of our study. Employing a multi-variable linearregression model, we aim to analyze this relationship thoroughly.The followingmodels were developed: (1) the impact model of executive shareholding oncorporate innovation investment; (2) the impact model of executive shareholdingon two types of agency costs; (3)The model is employed to examine the mediatinginfluence of the two categories of agency costs. Following both correlation andregression analyses, the findings confirm a meaningful and positive correlationbetween executives' shareholding and the augmentation of corporate innovationinvestments. Additionally, the results indicate that executive shareholdingcontributes to the reduction of the first type of agency cost, therebyfostering corporate innovation investment. However, simultaneously, it leads toan escalation in the second type of agency cost, thus impeding corporateinnovation investment.",['tanglihua@hnchasing.com'],2023-09-21,arXiv,https://arxiv.org/abs/2309.10986
1,2309.11189,Increasing Ticketing Allocative Efficiency Using Marginal Price Auction  Theory,['Boxiang Fu'],General Economics (econ.GN),Most modern ticketing systems rely on a first-come-first-serve or randomizedallocation system to determine the allocation of tickets. Such systems hasreceived considerable backlash in recent years due to its inequitable allotmentand allocative inefficiency. We analyze a ticketing protocol based on avariation of the marginal price auction system. Users submit bids to theprotocol based on their own utilities. The protocol awards tickets to thehighest bidders and determines the final ticket price paid by all bidders usingthe lowest winning submitted bid. Game theoretic proof is provided to ensurethe protocol more efficiently allocates the tickets to the bidders with thehighest utilities. We also prove that the protocol extracts more economic rentsfor the event organizers and the non-optimality of ticket scalping undertime-invariant bidder utilities.,"['IC', 'boxiangf@student.unimelb.edu.au']",2023-09-21,arXiv,https://arxiv.org/abs/2309.11189
2,2309.11394,Is Ethereum Proof of Stake Sustainable? $-$ Considering from the  Perspective of Competition Among Smart Contract Platforms $-$,"['Kenji Saito', 'Yutaka Soejima', 'Toshihiko Sugiura', 'Yukinobu Kitamura', 'Mitsuru Iwamura']",Computers and Society (cs.CY); General Economics (econ.GN),"Since the Merge update upon which Ethereum transitioned to Proof of Stake, ithas been touted that it resulted in lower power consumption and increasedsecurity. However, even if that is the case, can this state be sustained?In this paper, we focus on the potential impact of competition with othersmart contract platforms on the price of Ethereum's native currency, Ether(ETH), thereby raising questions about the safety and sustainabilitypurportedly brought about by the design of Proof of Stake.",[],2023-09-21,arXiv,https://arxiv.org/abs/2309.11394
3,2309.114,Transformers versus LSTMs for electronic trading,"['Paul Bilokon', 'Yitao Qiu']",Trading and Market Microstructure (q-fin.TR); Machine Learning (cs.LG); Econometrics (econ.EM); Statistical Finance (q-fin.ST),"With the rapid development of artificial intelligence, long short term memory(LSTM), one kind of recurrent neural network (RNN), has been widely applied intime series prediction.Like RNN, Transformer is designed to handle the sequential data. AsTransformer achieved great success in Natural Language Processing (NLP),researchers got interested in Transformer's performance on time seriesprediction, and plenty of Transformer-based solutions on long time seriesforecasting have come out recently. However, when it comes to financial timeseries prediction, LSTM is still a dominant architecture. Therefore, thequestion this study wants to answer is: whether the Transformer-based model canbe applied in financial time series prediction and beat LSTM.To answer this question, various LSTM-based and Transformer-based models arecompared on multiple financial prediction tasks based on high-frequency limitorder book data. A new LSTM-based model called DLSTM is built and newarchitecture for the Transformer-based model is designed to adapt for financialprediction. The experiment result reflects that the Transformer-based modelonly has the limited advantage in absolute price sequence prediction. TheLSTM-based models show better and more robust performance on differencesequence prediction, such as price difference and price movement.","['SU', 'paul.bilokon@imperial.ac.uk', 'yitao.qiu@imperial.ac.uk', 'IC']",2023-09-21,arXiv,https://arxiv.org/abs/2309.114
4,2309.11416,"Existence of a Competitive Equilibrium with Substitutes, with  Applications to Matching and Discrete Choice Models","['Liang Chen', 'Eugene Choo', 'Alfred Galichon', 'Simon Weber']",General Economics (econ.GN),"We propose new results for the existence and uniqueness of a generalnonparametric and nonseparable competitive equilibrium with substitutes. Theseresults ensure the invertibility of a general competitive system. The existingliterature has focused on the uniqueness of a competitive equilibrium assumingthat existence holds. We introduce three properties that our supply system mustsatisfy: weak substitutes, pivotal substitutes, and responsiveness. Theseproperties are sufficient to ensure the existence of an equilibrium, thusproviding the existence counterpart to Berry, Gandhi, and Haile (2013)'suniqueness results. For two important classes of models, bipartite matchingmodels with full assignment and discrete choice models, we show that bothmodels can be reformulated as a competitive system such that our existence anduniqueness results can be readily applied. We also provide an algorithm tocompute the unique competitive equilibrium. Furthermore, we argue that ourresults are particularly useful for studying imperfectly transferable utilitymatching models with full assignment and non-additive random utility models.","['New York University', 'ag@nyu.edu', 'galichon@cims.nyu.edu', 'liang.chen@zju.edu.cn', 'simon.weber@york.ac.uk', 'eugene.choo@yale-nus.edu.sg', 'NU']",2023-09-21,arXiv,https://arxiv.org/abs/2309.11416
5,2102.02071,"Matching Function Equilibria with Partial Assignment: Existence,  Uniqueness and Estimation","['Liang Chen', 'Eugene Choo', 'Alfred Galichon', 'Simon Weber']",General Economics (econ.GN),"We argue that models coming from a variety of fields, such as matching modelsand discrete choice models among others, share a common structure that we callmatching function equilibria with partial assignment. This structure includesan aggregate matching function and a system of nonlinear equations. We providea proof of existence and uniqueness of an equilibrium and propose an efficientalgorithm to compute it. For a subclass of matching models, we also develop anew parameter-free approach for constructing the counterfactual matchingequilibrium. It has the advantage of not requiring parametric estimation whencomputing counterfactuals. We use our procedure to analyze the impact of theelimination of the Social Security Student Benefit Program in 1982 on themarriage market in the United States. We estimate several candidate models fromour general class of matching functions and select the best fitting model usinginformation based criterion.","['New York University', 'ag@nyu.edu', 'RIC', 'simon.weber@york.ac.uk', 'State', 'IC', 'NU', 'galichon@cims.nyu.edu', 'liang.chen@zju.edu.cn', ' State', 'eugene.choo@yale-nus.edu.sg']",2023-09-21,arXiv,https://arxiv.org/abs/2102.02071
6,2303.08217,An axiomatic approach to default risk and model uncertainty in rating  systems,"['Max Nendel', 'Jan Streicher']",Mathematical Finance (q-fin.MF); Risk Management (q-fin.RM),"In this paper, we deal with an axiomatic approach to default risk. Weintroduce the notion of a default risk measure, which generalizes the classicalprobability of default (PD), and allows to incorporate model risk in variousforms. We discuss different properties and representations of default riskmeasures via monetary risk measures, families of related tail risk measures,and Choquet capacities. In a second step, we turn our focus on default riskmeasures, which are given as worst-case PDs and distorted PDs. The latter arefrequently used in order to take into account model risk for the computation ofcapital requirements through risk-weighted assets (RWAs), as demanded by theCapital Requirement Regulation (CRR). In this context, we discuss the impact ofdifferent default risk measures and margins of conservatism on the amount ofrisk-weighted assets.","['AU', 'UL', 'ND', 'FAU', 'IC', 'UNC']",2023-09-21,arXiv,https://arxiv.org/abs/2303.08217
7,2306.15554,A Theory of Complex Adaptive Learning Based on a Subject's Intelligent  Trading Probability Wave Equation,"['Leilei Shi', 'Bing-Hong Wang', 'Xinshuai Guo', 'Guocheng Wang']",General Finance (q-fin.GN); Adaptation and Self-Organizing Systems (nlin.AO); Quantum Physics (quant-ph),"Complex adaptive learning is intelligent. It is adaptive, learns in feedbackloops, and generates hidden patterns as many individuals, elements or particlesinteract in complex adaptive systems (CASs). It is uncertain and crucial inlife and inanimate complex systems. Quantifying the uncertainty by probabilitywaves in CASs, the authors attempt to extract a universal law of complexadaptive learning from a subject's intelligent trading volume-price probabilitywave equation in the financial markets, apply it to inanimate complex quantumsystems that obey the law and have an innovative two-worlds interpretation ofthe quantum entanglement debated for nearly a century. It says particlespossess an intelligence-like property in interactive coherence and violateNewton's laws if cumulative quantity or volume in a time interval representsmomentum in complex adaptive quantum systems. It concludes that quantumentanglement is not a superposition of two coherent states as mainstreamCopenhagen interprets. It is a coherent state in interaction between twoopposite, adaptive, and complementary forces. The two intelligent powers keepan invariance of interaction and generate particles' interactively coherententanglement with two opposite properties in a bipartite complex adaptivequantum system. Keywords: complex adaptive systems, complex adaptive learning,intelligence-like particle, two-world interpretation, interactively coherententanglement PACS: 89.75.-k (Complex Systems); 89.65.Gh (Economics,Econophysics, Financial Markets, Business and Management); 03.65.Ud(Entanglement and Quantum Nonlocality)","['guoxs@ustc.edu.cn', 'bhwang@ustc.edu.cn']",2023-09-21,arXiv,https://arxiv.org/abs/2306.15554
8,2308.01915,LOB-Based Deep Learning Models for Stock Price Trend Prediction: A  Benchmark Study,"['Matteo Prata', 'Giuseppe Masi', 'Leonardo Berti', 'Viviana Arrigoni', 'Andrea Coletta', 'Irene Cannistraci', 'Svitlana Vyetrenko', 'Paola Velardi', 'Novella Bartolini']",Trading and Market Microstructure (q-fin.TR); Machine Learning (cs.LG),"The recent advancements in Deep Learning (DL) research have notablyinfluenced the finance sector. We examine the robustness and generalizabilityof fifteen state-of-the-art DL models focusing on Stock Price Trend Prediction(SPTP) based on Limit Order Book (LOB) data. To carry out this study, wedeveloped LOBCAST, an open-source framework that incorporates datapreprocessing, DL model training, evaluation and profit analysis. Our extensiveexperiments reveal that all models exhibit a significant performance drop whenexposed to new data, thereby raising questions about their real-world marketapplicability. Our work serves as a benchmark, illuminating the potential andthe limitations of current approaches and providing insight for innovativesolutions.","['BC', 'USA']",2023-09-21,arXiv,https://arxiv.org/abs/2308.01915
9,2308.12856,Uncertainty Propagation and Dynamic Robust Risk Measures,"['Marlon Moresco', 'Mélina Mailhot', 'Silvana Pesenti']",Risk Management (q-fin.RM),"We introduce a framework for quantifying propagation of uncertainty arisingin a dynamic setting. Specifically, we define dynamic uncertainty sets designedexplicitly for discrete stochastic processes over a finite time horizon. Thesedynamic uncertainty sets capture the uncertainty surrounding stochasticprocesses and models, accounting for factors such as distributional ambiguity.Examples of uncertainty sets include those induced by the Wasserstein distanceand $f$-divergences.We further define dynamic robust risk measures as the supremum of allcandidates' risks within the uncertainty set. In an axiomatic way, we discussconditions on the uncertainty sets that lead to well-known properties ofdynamic robust risk measures, such as convexity and coherence. Furthermore, wediscuss the necessary and sufficient properties of dynamic uncertainty setsthat lead to time-consistencies of robust dynamic risk measures. We find thatuncertainty sets stemming from $f$-divergences lead to strong time-consistencywhile the Wasserstein distance results in a new notion of non-normalisedtime-consistency. Moreover, we show that a dynamic robust risk measure isstrong or non-normalised time-consistent if and only if it admits a recursiverepresentation of one-step conditional robust risk measures arising from staticuncertainty sets.","['silvana.pesenti@utoronto.ca', 'marlon.moresco@concordia.ca', 'melina.mailhot@concordia.ca']",2023-09-21,arXiv,https://arxiv.org/abs/2308.12856
