paper_id,authors,subjects,title,abstract,url,date_published,affilliations,source
3enxf,['Philip Deming'],['Psychiatry'],Burning neuroscientific questions about etiological models of psychopathy,"Numerous etiological models have been proposed for psychopathy, a disorder that leaves a devastating impact on society. There is a need for developing treatments that target the relevant mechanisms proposed by these models. But first, there is a need to refine the etiological models. Toward this aim, I pose three questions guided by what is known about the architecture of the human brain, and how that architecture shapes function. In question 1, I ask whether the paralimbic hypothesis implicates the whole brain. Given its myelo- and cytoarchitecture, paralimbic cortex sits atop multiple neural hierarchies. This position allows paralimbic cortex to send feedback signals down these hierarchies, shaping sensory signals from the body and world before they arrive. In question 2, I ask what the low fear theory predicts about brain function. Most previous neuroscientific applications of this theory have posited low amygdala activity as the brain basis of psychopathic individuals’ purported fearlessness. I emphasize the need for a new neuroscientific application of the low fear theory, one that accounts for the distributed and context-specific brain activity that creates fear. In question 3, I ask how the brain creates goal states, and I explore implications for two models of psychopathy that assign a prominent role to goal states. Evidence from the field of reinforcement learning shows that the brain adaptively employs a spectrum of behavioral control strategies, ranging from model-free (i.e., habitual) to model-based (i.e., goal-directed). Psychopathic people may have difficulty adaptively implementing primarily model-based strategies.",https://psyarxiv.com/3enxf/,2023-09-21T22:29:11.846828,"['Northeastern University', 'NEU', 'DC', 'p.deming@northeastern.edu', 'State', 'Cal', 'UK', 'SC', 'USA', 'Brown', ' State']",OSF
rqc63,['Shahan Mamoor'],"['Life Sciences', 'Immunology and Infectious Disease', 'Immunity']",Control of MKI67 by NOD2.,"We provide evidence here from loss-of-function studies in mice and gain-of-function studies in human cells (1, 2) which demonstrate control of cellular proliferation marker MKI67 by the NLR (nucleotide-binding oligomerization domain-like receptor) family protein NOD2.",https://osf.io/rqc63/,2023-09-21T21:46:12.835291,"['shahanmamoor@gmail.com', 'USA']",OSF
rzbq9,"['Jenny Wagner', 'Larissa L Wieczorek', 'Naemi Brandt']","['Social and Behavioral Sciences', 'Social and Personality Psychology']","Boosting Yourself? Associations Between Momentary Self-Esteem, Daily Social Interactions, and Self-Esteem Development in Late Adolescence and Late Adulthood","Research over the past two decades has repeatedly shown that the evaluation of one’s own worth—trait self-esteem—is closely linked to the quality of social relationships and perceptions of social inclusion. However, there is limited evidence on the dynamics between momentary self-esteem and perceptions of social inclusion in everyday life, as well as on their possible long-term (bottom-up) effects on the development of trait self-esteem. We addressed this research gap using longitudinal data from a German multi-methodological study (N = 324) in which N = 235 late adolescents (Mage = 17.7; 76% female) and N = 89 older adults (Mage = 63.8; 64% female) were followed over one year. Based on three trait questionnaires with six-month intervals and a 7-day experience-sampling burst at the first measurement point, we investigated momentary dynamics in self-esteem and longitudinal change by using multilevel and latent growth modeling. Results confirmed the positive association between momentary self-esteem and perceptions of social inclusion in everyday life, that is, self-esteem reactivity in both age groups. In addition, both self- and other reports showed a consistent increase in trait self-esteem over one year. However, because the slope parameters did not indicate substantial interindividual variance, we were unable to test for bottom-up effects of self-esteem reactivity. We discuss the importance of daily social experiences for momentary self-esteem in late adolescence and late adulthood, but also point to the need for further multi-methodological research.",https://psyarxiv.com/rzbq9/,2023-09-21T20:38:19.575369,['ND'],OSF
rjdcz,['Camille Akmut'],['Arts and Humanities'],Dragon Buster (Supplement III:33),GCCX cont. (Supp. to the history of computer science and tech.),https://osf.io/rjdcz/,2023-09-21T19:46:06.409600,[],OSF
8ebmc,"['Vera M Ludwig', 'Iris Reinhard', 'Esther Mühlbauer', 'Holger Hill', 'Emanuel Severus', 'Michael Bauer', 'Philipp Ritter', 'Ulrich Ebner-Priemer']",['Psychiatry'],Limited evidence of autocorrelation signaling upcoming affective episodes: a 12-month e-diary study in patients with bipolar disorder,"Background. Increased autocorrelation (AR) of system-specific measures has been suggested as a predictor for critical transitions in complex systems. Increased AR of mood scores has been reported to anticipate depressive episodes in major depressive disorder, while other studies found AR increases to be associated with depressive episodes themselves. Data on AR in patients with bipolar disorders (BD) is limited and inconclusive.

Methods. Patients with BD reported their current mood via daily e-diaries for 12 months. Current affective status (euthymic, prodromal, depressed, (hypo)manic) was assessed in 26 bi-weekly expert interviews. Exploratory analyses tested whether self-reported current mood and AR of the same item could differentiate between prodromal phases or affective episodes and euthymia.

Results. A total of 29 depressive and 20 (hypo)manic episodes were observed in 29 participants with BD. Self-reported current mood was significantly decreased during in the two weeks prior to a depressive episode (early prodromal, late prodromal), but not changed prior to manic episodes. The AR was neither a significant predictor for the early or late prodromal phase of depression, nor for the early prodromal phase of (hypo)mania. Decreased AR was found in the late prodromal phase of (hypo)mania. Increased AR was mainly found during depressive episodes. 

Conclusions.  AR changes might not be better at predicting depressive episodes than simple self-report measures on current mood in patients with BD. Increased AR was mostly found during depressive episodes. Potentially, changes in AR might anticipate (hypo)manic episodes.",https://psyarxiv.com/8ebmc/,2023-09-21T19:52:07.403317,"['Vera.Ludwig@ukdd.de', 'Central']",OSF
djt9v,"['Marlène Abadie', 'Christelle Guette']","['Social and Behavioral Sciences', 'Cognitive Psychology', 'Memory']",Reducing Age Differences in the Retrieval of Verbatim and Gist Representations: Encoding Manipulations,"Aging causes changes in episodic memory. While the ability to remember the general idea or gist of past episodes is relatively preserved from the effects of aging, the ability to remember the verbatim details of these episodes declines. The aim of the present study was to examine whether age-related differences in the quality of episodic representations could be reduced by manipulations of information encoding. Two experiments were conducted with younger adults (N = 63, 18-27 years old) and older adults (N = 61, 54-81 years old) in which either the retrieval of gist representations of studied items was facilitated by presenting items that could be grouped within the same category (Experiment 1) or the retrieval of verbatim details of studied items was facilitated by presenting the same items repeatedly (Experiment 2). Both manipulations proved effective in increasing retrieval of either gist or verbatim representations in a recognition task in younger and older adults. Increasing gist retrieval improved correct recognition performance for both younger and older adults, but also led the latter to make more recognition errors. Increasing verbatim retrieval improved correct recognition performance for both younger and older adults, and the gain was greater for older adults. These findings support the notion that age-related changes in episodic memory can be explained by changes in representational specificity and suggest that simple encoding manipulations could improve episodic memory in older adults.",https://psyarxiv.com/djt9v/,2023-09-21T19:42:43.865344,"['MU', 'BU', 'Pitt', 'PC']",OSF
7g9zx,"['Slobodan Tomic', 'Ognjen Dragicevic']","['Social and Behavioral Sciences', 'Public Affairs, Public Policy and Public Administration', 'Public Administration']",An Unexpected Fate of a Regulatory State at the EU’s Gate: Internationalisation and Non-Consolidation of the Serbian Regulatory State,"This article examines how the regulatory state in Serbia, a transitional country transition on the EU's semi-periphery, has evolved and whether it has solidified over the past two decades. Despite the proclaimed goal to develop a democracy based on market principles and sound regulatory principles, Serbia's regulatory state appears to remain unconsolidated. The research reveals deviations from the key principles of the regulatory state, such as the government's non-interference in markets and commitment to Better Regulation guidelines. During the transition period from 2001 to 2023, Serbia's regulatory approach has blended various elements, including features of the developmental state. To grasp the trajectory of the regulatory state's lack of consolidation, decay, reversal, and replacement, we need to consider a consolidation perspective in addition to the prevalent ‘modelling perspective’. The latter mainly distinguishes between the ‘Regulatory State of the South’ and the ‘Regulatory State of the Global North’. The observed lack of consolidation in Serbia's case study calls for a rethinking of theories on internationalisation and trends in global governance's transnationalisation. It implies the possibility of the rise of varied regulatory models, even in countries close to the Global North and within the EU's neighbourhood, diverging from the traditional regulatory state paradigm. This study adds to the conversation on regulatory state frameworks and sheds light on the intricate paths and potential futures of regulatory states in countries undergoing transition.",https://osf.io/preprints/socarxiv/7g9zx/,2023-09-21T22:44:10.784438,"['ognjen.dragicevic@fpn.bg.ac.rs', ' State', 'slobodan.tomic@york.ac.uk', 'State', 'UK']",OSF
q6j3u,"['Maxim Lisnic', 'Alexander Lex', 'Marina Kogan']","['Physical Sciences and Mathematics', 'Computer Sciences', 'Graphics and Human Computer Interfaces']","""Yeah, this graph doesn’t show that"": Analysis of Online Engagement with Misleading Data Visualizations","Attempting to make sense of a phenomenon or crisis, social media users often share data visualizations and interpretations that can be erroneous or misleading. Prior work has studied how data visualizations can mislead, but do misleading visualizations reach a broad social media audience? And if so, do users amplify or challenge misleading interpretations? To answer these questions, we conducted a mixed-methods analysis of the public's engagement with data visualization posts about COVID-19 on Twitter. Compared to posts with accurate visual insights, our results show that posts with misleading visualizations garner more replies in which the audiences point out nuanced fallacies and caveats in data interpretations. Based on the results of our thematic analysis of engagement, we identify and discuss important opportunities and limitations to effectively leveraging crowdsourced assessments to address data-driven misinformation.",https://osf.io/q6j3u/,2023-09-21T19:22:03.328894,"['SU', 'University of Utah ', 'alex@sci.utah', 'University of Utah', 'UA', 'kogan@cs.utah.edu', 'ISU']",OSF
rfvs7,"['Amanda K Montoya', 'Andrew F Hayes', 'NANCY GOMEZ JUAREZ']","['Social and Behavioral Sciences', 'Clinical Psychology', 'Intervention Research']",Mediation Analysis in the Two-Group Pretest-Posttest Design:  A New Approach Based on Treatment as a Moderator of Time Effects,"An intervention, such as a form of therapy or a diet program to lose weight, is perceived as effective by a person if that person experiences a change (in thoughts, emotions, behavior) following the intervention. Scientific and statistical processes evaluate intervention based on differences in change over time between those who do and do not experience the intervention. In this paper, we provide a new approach to mediation analysis in the two-group pretest-posttest designs that coincides with such within-person psychological experience of change. Our method, the treatment as moderator (TAM) approach, focuses on differences between two conditions (i.e., between those who do versus do not receive an intervention of some kind) in the indirect and direct effects of the passage of time on an outcome variable, with the indirect effect operating through change over time on a mediator. We provide an example of the analysis and interpretation using data from a study examining the mediating role of emotional impulsivity on the effect of an online intervention designed to reduce aggression, while describing implementation with the MEMORE macro available for SPSS and SAS as well as in a structural equation modeling framework using the lavaan package in R.",https://psyarxiv.com/rfvs7/,2023-09-21T19:16:01.255392,"['State', ' State']",OSF
5zfmg,"['Slobodan Tomic', 'Elizabeth David-Barrett']","['Social and Behavioral Sciences', 'Public Affairs, Public Policy and Public Administration', 'Policy Design, Analysis, and Evaluation']","The Legal Design of Domestic MLA procedures in Southeast Europe: A Comparative Analysis of Serbia, North Macedonia and Bosnia and Herzegovina","The chapter explores the domestic legal design of Mutual Legal Assistance (MLA) procedures, analysing individual forms of MLA such as extradition of suspects or convicts, takeover or surrender of prosecution, and execution of foreign judgments. The analysis compares legislation from three countries in Southeast Europe: Serbia, North Macedonia, and Bosnia and Herzegovina. It examines whether two key components of legal design, namely (i) the discretion granted to institutions within the criminal justice system and political establishment and (ii) the presence of checks and balances systems within MLA procedures, have a positive or negative impact on MLA policy in practice. The analysis reveals that, although the three countries share many similarities in their legal arrangements pertaining to MLA procedures, there are some variations in specific forms of MLA, in terms of the discretion granted to domestic actors and the presence of checks and balances within the procedure. The findings show that significant discretion given to specific actors within the MLA policy can pave the way for harmful practices such as arbitrariness, uneven application of the law, and potential political abuse. The study also highlights the value of incorporating built-in checks and balances within the MLA procedure to ensure accountability and mutual control mechanisms, confirming that, where such mechanisms are not present, appropriate accountability and control safeguards are missing, enabling potential abuse of power or neglect in handling the MLA procedure. At the same time, it emerges that these checks and balances, whether they include internal review mechanisms, joint decision-making models, and/or approval powers ('de facto vetoing'), should not be excessive or burdensome to avoid obstructing the MLA processes.",https://osf.io/preprints/socarxiv/5zfmg/,2023-09-21T22:48:42.366159,"['Western', 'slobodan.tomic@york.ac.uk', 'E.David-Barrett@sussex.ac.uk', 'UK']",OSF
